letter	frequency
Chile 	478
Turkey 	480
Malaysia 	484
Argentina	485
Mexico 	486
Ireland 	490
Brazil 	491
Serbia 	493
Australia 	493
New Zealand 	494
Greece 	495
Russia 	495
Austria 	495
Belgium 	495
South Africa 	496
Hong Kong 	497
Sweden 	505
France 	508
United Kingdom 	508
Lithuania 	509
Portugal 	509
Bosnia and Herzegovina 	510
Croatia 	510
Czech Republic 	510
Denmark 	510
Switzerland 	510
Finland 	510
South Korea 	510
Germany 	510
Romania 	510
Norway 	510
Poland 	510
Hungary 	510
Netherlands 	510
Italy 	510
Canada 	520
China 	520
Egypt 	522
Taiwan 	530
United States 	540
Japan 	557